month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,quarter,rpi,resale_price_real,remaining_lease_years,floor_category,year,lat,lon,nearest_train_line,nearest_train_dist_m,nearest_train_name,dist_nearest_hawker_m,nearest_hawker_name,dist_cbd_m,dist_nearest_primary_m,primary_schools_1km,num_primary_1km,dist_nearest_park_m,parks_1km,num_parks_1km,dist_nearest_sportsg_m,nearest_sportsg_name,dist_nearest_mall_m,nearest_mall_name,dist_nearest_healthcare_m,nearest_healthcare_name,dist_from_input_m
2025-06-01,TAMPINES,4 ROOM,123,SIMEI ST 1,07 TO 09,104.0,Model A,1988,62 years 06 months,670000.0,2025-Q2,202.9,672311.48,62.5,Mid,2025,1.34530661835845,103.953187956159,EW,242.2,SIMEI MRT STATION,951.4,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),13277.3,577.6,CHANGKAT PRIMARY SCHOOL|CHONGZHENG PRIMARY SCHOOL|YUMIN PRIMARY SCHOOL,3,562.8,SEA BREEZE AVENUE PARK|SEA BREEZE GARDEN PARK|MERAGI RD PG|SUNBIRD CIRCLE PG|HARVEY CRESCENT PG|JLN PELATOK OS|JLN PELATOK PG|JLN ANGIN LAUT PG,8,1755.8,Tampines Sport Centre,206.1,Simei Plaza /Blk 248,647.7,CHANGI GENERAL HOSPITAL,0.0
2025-05-01,TAMPINES,4 ROOM,123,SIMEI ST 1,10 TO 12,104.0,Model A,1988,62 years 07 months,675000.0,2025-Q2,202.9,677328.73,62.5833,Mid,2025,1.34530661835845,103.953187956159,EW,242.2,SIMEI MRT STATION,951.4,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),13277.3,577.6,CHANGKAT PRIMARY SCHOOL|CHONGZHENG PRIMARY SCHOOL|YUMIN PRIMARY SCHOOL,3,562.8,SEA BREEZE AVENUE PARK|SEA BREEZE GARDEN PARK|MERAGI RD PG|SUNBIRD CIRCLE PG|HARVEY CRESCENT PG|JLN PELATOK OS|JLN PELATOK PG|JLN ANGIN LAUT PG,8,1755.8,Tampines Sport Centre,206.1,Simei Plaza /Blk 248,647.7,CHANGI GENERAL HOSPITAL,0.0
2025-02-01,TAMPINES,4 ROOM,122,SIMEI ST 1,07 TO 09,84.0,Simplified,1988,62 years 02 months,570000.0,2025-Q1,201.0,577373.13,62.1667,Mid,2025,1.34557177331253,103.95249806135,EW,289.2,SIMEI MRT STATION,875.0,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),13227.5,575.5,CHANGKAT PRIMARY SCHOOL|CHONGZHENG PRIMARY SCHOOL|YUMIN PRIMARY SCHOOL,3,623.0,SEA BREEZE AVENUE PARK|SEA BREEZE GARDEN PARK|MERAGI RD PG|SUNBIRD CIRCLE PG|HARVEY CRESCENT PG|JLN PELATOK OS|JLN PELATOK PG,7,1675.0,Tampines Sport Centre,261.7,Simei Plaza /Blk 248,626.2,CHANGI GENERAL HOSPITAL,82.2
2025-06-01,TAMPINES,4 ROOM,246,SIMEI ST 5,07 TO 09,105.0,Model A,1997,70 years 08 months,765000.0,2025-Q2,202.9,767639.23,70.6667,Mid,2025,1.34505922260533,103.954165735566,EW,228.7,SIMEI MRT STATION,1060.7,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),13356.0,584.7,CHANGKAT PRIMARY SCHOOL|CHONGZHENG PRIMARY SCHOOL|YUMIN PRIMARY SCHOOL,3,502.4,SEA BREEZE AVENUE PARK|SEA BREEZE GARDEN PARK|MERAGI RD PG|SUNBIRD CIRCLE PG|HARVEY CRESCENT PG|JLN PELATOK OS|JLN PELATOK PG|JLN ANGIN LAUT PG,8,1863.3,Tampines Sport Centre,183.2,Simei Plaza /Blk 248,703.3,CHANGI GENERAL HOSPITAL,112.1
2025-12-01,TAMPINES,4 ROOM,247,SIMEI ST 5,10 TO 12,105.0,Model A,1997,70 years 02 months,800000.0,2025-Q4,203.6,800000.0,70.1667,Mid,2025,1.34427596104719,103.953170238617,EW,129.3,SIMEI MRT STATION,957.2,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),13216.2,465.7,CHANGKAT PRIMARY SCHOOL|CHONGZHENG PRIMARY SCHOOL|YUMIN PRIMARY SCHOOL,3,460.7,SEA BREEZE AVENUE PARK|SEA BREEZE GARDEN PARK|MERAGI RD PG|SUNBIRD CIRCLE PG|HARVEY CRESCENT PG|JLN PELATOK OS|JLN PELATOK PG|JLN ANGIN LAUT PG,8,1816.3,Tampines Sport Centre,99.4,Simei Plaza /Blk 248,562.8,CHANGI GENERAL HOSPITAL,114.6
2025-05-01,TAMPINES,4 ROOM,245,SIMEI ST 5,07 TO 09,105.0,Model A,1997,70 years 08 months,760000.0,2025-Q2,202.9,762621.98,70.6667,Mid,2025,1.34436497527246,103.954261819807,EW,164.9,SIMEI MRT STATION,1076.6,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),13325.4,519.7,CHANGKAT PRIMARY SCHOOL|CHONGZHENG PRIMARY SCHOOL|YUMIN PRIMARY SCHOOL,3,424.9,SEA BREEZE AVENUE PARK|SEA BREEZE GARDEN PARK|MERAGI RD PG|SUNBIRD CIRCLE PG|HARVEY CRESCENT PG|JLN PELATOK OS|JLN PELATOK PG|JLN ANGIN LAUT PG,8,1912.4,Tampines Sport Centre,119.2,Simei Plaza /Blk 248,662.7,CHANGI GENERAL HOSPITAL,158.8
2025-08-01,TAMPINES,4 ROOM,127,SIMEI ST 1,07 TO 09,84.0,Simplified,1987,61 years 04 months,583000.0,2025-Q3,203.7,582713.79,61.3333,Mid,2025,1.34658424384582,103.954316430613,EW,395.5,SIMEI MRT STATION,1085.2,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),13458.6,558.3,CHANGKAT PRIMARY SCHOOL|CHONGZHENG PRIMARY SCHOOL|YUMIN PRIMARY SCHOOL,3,666.0,SEA BREEZE AVENUE PARK|MERAGI RD PG|SUNBIRD CIRCLE PG|HARVEY CRESCENT PG|JLN PELATOK OS|JLN PELATOK PG,6,1799.1,Tampines Sport Centre,351.1,Simei Plaza /Blk 248,837.1,CHANGI GENERAL HOSPITAL,189.5
