iter	RMSE
0	0.3069507468
1	0.3004891483
2	0.2941080654
3	0.2878923836
4	0.2819412577
5	0.2761819256
6	0.2706968874
7	0.2652818373
8	0.2601511311
9	0.2551891377
10	0.25046332
11	0.2457957144
12	0.2411515251
13	0.2367310484
14	0.232484674
15	0.2283012081
16	0.2242629305
17	0.2203765372
18	0.216687011
19	0.2131426349
20	0.2098132611
21	0.206486813
22	0.2034031701
23	0.2003077851
24	0.1974334504
25	0.1944864086
26	0.1918444894
27	0.1892704854
28	0.1858920308
29	0.1826992779
30	0.1794591943
31	0.1761436576
32	0.1732616159
33	0.1707266628
34	0.1678849442
35	0.1651745671
36	0.162957595
37	0.161187605
38	0.1586389036
39	0.1565564907
40	0.1541419914
41	0.1524227561
42	0.1501501145
43	0.1485317786
44	0.1464374132
45	0.1448970772
46	0.1431733544
47	0.1416036656
48	0.1398347101
49	0.1383242132
50	0.136810445
51	0.1353211261
52	0.1339463526
53	0.1326383982
54	0.1313808728
55	0.1302047142
56	0.1289145885
57	0.1278091828
58	0.1264223233
59	0.1252395095
60	0.1242524778
61	0.1233018388
62	0.122399303
63	0.1215264854
64	0.1206169183
65	0.1198375702
66	0.1190287927
67	0.1180797862
68	0.1172880927
69	0.1165894024
70	0.1157748943
71	0.1150359335
72	0.114132985
73	0.1134888969
74	0.1128987779
75	0.1122235718
76	0.1116680569
77	0.1111255249
78	0.1105224068
79	0.1098826456
80	0.1093062645
81	0.1086215521
82	0.1081446375
83	0.1073955475
84	0.1066809653
85	0.1062844266
86	0.1057434106
87	0.1051747221
88	0.1046181804
89	0.1041487255
90	0.1035956031
91	0.1031233913
92	0.1025109003
93	0.102046523
94	0.1015224589
95	0.1010433939
96	0.1006652302
97	0.1002354821
98	0.09972256398
99	0.09931951274
100	0.09890192879
101	0.09855536956
102	0.09828513533
103	0.09784624169
104	0.09755789136
105	0.09722081714
106	0.09693553915
107	0.09666753572
108	0.09635517435
109	0.09603169964
110	0.09575329695
111	0.09536885485
112	0.09499590852
113	0.09474321829
114	0.09445544749
115	0.09408867791
116	0.09380928291
117	0.09353591778
118	0.09325177494
119	0.09304107985
120	0.09284063841
121	0.09261792453
122	0.09237226863
123	0.09216438676
124	0.091956631
125	0.0917477011
126	0.09152375258
127	0.09129895687
128	0.09112946083
129	0.09092333756
130	0.0907755309
131	0.09055434498
132	0.09043264579
133	0.09032873836
134	0.09015174251
135	0.08999908105
136	0.08980878236
137	0.0896466194
138	0.08953747788
139	0.08937167217
140	0.08912714713
141	0.08901834232
142	0.08867042925
143	0.08844017349
144	0.0882969176
145	0.08815224532
146	0.08805254849
147	0.0878642064
148	0.08774253286
149	0.08760463639
150	0.08737590045
151	0.08725362629
152	0.08698668712
153	0.0869023765
154	0.08675341695
155	0.08658629117
156	0.08647181453
157	0.08624705095
158	0.08613573304
159	0.08601024423
160	0.08588213206
161	0.08572792627
162	0.0854744575
163	0.08532805545
164	0.0852614034
165	0.08513518888
166	0.0848866899
167	0.08477725534
168	0.08465994941
169	0.08457696858
170	0.08444043596
171	0.08421779421
172	0.08408155702
173	0.08397031721
174	0.08381799256
175	0.08366952236
176	0.08349926549
177	0.0833924409
178	0.08333204972
179	0.08316145953
180	0.08306582563
181	0.08292821494
182	0.08282908583
183	0.08267742741
184	0.08257415932
185	0.08247631426
186	0.0823461784
187	0.08225562607
188	0.08213172542
189	0.08204288341
190	0.08189614725
191	0.08170943022
