iter	RMSE
0	0.3075580068
1	0.3009335346
2	0.2946924315
3	0.2886267444
4	0.2824766595
5	0.2767484079
6	0.2712069427
7	0.265861798
8	0.2607633465
9	0.2558038302
10	0.2510741902
11	0.2463439946
12	0.2417354572
13	0.237376525
14	0.2331469848
15	0.2290508543
16	0.2251923273
17	0.2213732641
18	0.2178869319
19	0.214344845
20	0.210942603
21	0.2076969569
22	0.2045479243
23	0.2016157105
24	0.1986606515
25	0.1959236557
26	0.1931796079
27	0.1905261611
28	0.1879491539
29	0.1846818702
30	0.1820481787
31	0.1795725272
32	0.1771386293
33	0.1748190785
34	0.172571626
35	0.1704724253
36	0.1684123315
37	0.1664902231
38	0.1645726851
39	0.1626687148
40	0.1608580039
41	0.1591124083
42	0.1574152842
43	0.1558493874
44	0.1537393248
45	0.1521545142
46	0.1507566952
47	0.149333681
48	0.1479239074
49	0.1465573847
50	0.1447983666
51	0.143599684
52	0.1425340411
53	0.1413850387
54	0.1402856272
55	0.1392580711
56	0.1381818058
57	0.1368849189
58	0.1358282831
59	0.1350150751
60	0.1335934573
61	0.1323821397
62	0.1313157954
63	0.1299974231
64	0.128837838
65	0.1277798616
66	0.1269382842
67	0.1260378559
68	0.1252236929
69	0.1240805121
70	0.1232614375
71	0.1223993279
72	0.121613156
73	0.1210094972
74	0.1204147298
75	0.1195387122
76	0.1189749711
77	0.1180808027
78	0.1170626155
79	0.116310485
80	0.1155944379
81	0.1148298501
82	0.1140283122
83	0.1132920549
84	0.1125506087
85	0.1119820957
86	0.1113912757
87	0.1106097223
88	0.1100756561
89	0.1094884604
90	0.1089097249
91	0.1083188636
92	0.1077661786
93	0.1072174513
94	0.1066416365
95	0.1061268889
96	0.1057421029
97	0.1053717974
98	0.1048822632
99	0.1044181607
100	0.1039959811
101	0.1036626534
102	0.103275289
103	0.1029607516
104	0.1025318604
105	0.1020842019
106	0.1017644364
107	0.1014173291
108	0.101091933
109	0.1008151304
110	0.1005686266
111	0.1002694568
112	0.09991831589
113	0.0996237308
114	0.09933532381
115	0.09911286231
116	0.09880852464
117	0.09852947789
118	0.09828189546
119	0.09804731838
120	0.0977791978
121	0.09754242665
122	0.09734613354
123	0.0969869124
124	0.0966084524
125	0.09640386956
126	0.09614526722
127	0.09586291255
128	0.09565791886
129	0.09548520132
130	0.0952845361
131	0.09491945261
132	0.09459587722
133	0.09432897395
134	0.09393414672
135	0.09373686042
136	0.09356441146
137	0.09333165369
138	0.09314556449
139	0.09300024397
140	0.09281114701
141	0.09269657265
142	0.09243373162
143	0.09212461205
144	0.0919102555
145	0.09169690909
146	0.0915819154
147	0.0913345002
148	0.09122961918
149	0.09101286786
150	0.09085229888
151	0.09067283973
152	0.09041963671
153	0.09026554033
154	0.09007730342
155	0.08988989696
156	0.08973252067
157	0.08959717938
158	0.089418566
159	0.0892041398
160	0.08900527819
161	0.0888494098
162	0.08866732921
163	0.08846023969
164	0.0882879115
165	0.08815657689
166	0.08800631306
167	0.0878476208
168	0.08770074662
169	0.087596596
170	0.08747612403
171	0.08723671822
172	0.08707654121
173	0.08690053703
174	0.08676733585
175	0.08658135659
176	0.0863955614
177	0.08623528669
178	0.08615245371
179	0.08598098335
180	0.08580974471
181	0.08566555163
182	0.08555565753
183	0.08533274267
184	0.08516315655
185	0.08496489858
186	0.08488442056
187	0.08474278506
188	0.08456980766
189	0.08440529632
190	0.08427856011
191	0.08417271671
192	0.08399606645
193	0.08386703983
194	0.08371409104
195	0.08359265086
196	0.08346012059
197	0.08334567368
198	0.08319889282
199	0.08306852826
200	0.08299568875
201	0.08281145427
202	0.08267804847
203	0.08256860136
204	0.0824959548
205	0.08240426325
206	0.08230455378
207	0.08213758601
208	0.08203493693
209	0.08194476561
210	0.08181567555
211	0.08172243229
212	0.08160912537
213	0.08154066763
214	0.08144300381
215	0.08134555127
216	0.08121033024
217	0.0810884026
218	0.08100658387
219	0.08085830392
220	0.08073684248
221	0.08066891328
222	0.08058715262
223	0.08049800594
224	0.08040798886
225	0.08029418505
226	0.080161507
227	0.08009513847
228	0.08005702275
229	0.07994625649
230	0.0798504091
231	0.07977652458
232	0.07966416642
233	0.07954737435
