MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2017 to Feb 2026


SORA Value Date,,,SORA Publication Date,Compound SORA - 3 month
,,25,26 Nov 2020,0.1153
,,26,27 Nov 2020,0.1162
,,27,30 Nov 2020,0.1171
,,30,01 Dec 2020,0.1160
,Dec,01,02 Dec 2020,0.1165
,,02,03 Dec 2020,0.1176
,,03,04 Dec 2020,0.1184
,,04,07 Dec 2020,0.1181
,,07,08 Dec 2020,0.1187
,,08,09 Dec 2020,0.1195
,,09,10 Dec 2020,0.1195
,,10,11 Dec 2020,0.1197
,,11,14 Dec 2020,0.1171
,,14,15 Dec 2020,0.1173
,,15,16 Dec 2020,0.1176
,,16,17 Dec 2020,0.1183
,,17,18 Dec 2020,0.1194
,,18,21 Dec 2020,0.1193
,,21,22 Dec 2020,0.1190
,,22,23 Dec 2020,0.1201
,,23,24 Dec 2020,0.1203
,,24,28 Dec 2020,0.1252
,,28,29 Dec 2020,0.1248
,,29,30 Dec 2020,0.1263
,,30,31 Dec 2020,0.1283
,,31,04 Jan 2021,0.1661


SORA Value Date,,,SORA Publication Date,Compound SORA - 3 month
2021,Jan,04,05 Jan 2021,0.1662
,,05,06 Jan 2021,0.1659
,,06,07 Jan 2021,0.1656
,,07,08 Jan 2021,0.1653
,,08,11 Jan 2021,0.1664
,,11,12 Jan 2021,0.1664
,,12,13 Jan 2021,0.1663
,,13,14 Jan 2021,0.1665
,,14,15 Jan 2021,0.1663
,,15,18 Jan 2021,0.1653
,,18,19 Jan 2021,0.1659
,,19,20 Jan 2021,0.1666
,,20,21 Jan 2021,0.1665
,,21,22 Jan 2021,0.1671
,,22,25 Jan 2021,0.1679
,,25,26 Jan 2021,0.1678
,,26,27 Jan 2021,0.1682
,,27,28 Jan 2021,0.1681
,,28,29 Jan 2021,0.1697
,,29,01 Feb 2021,0.1694
,Feb,01,02 Feb 2021,0.1684
,,02,03 Feb 2021,0.1684
,,03,04 Feb 2021,0.1682
,,04,05 Feb 2021,0.1683
,,05,08 Feb 2021,0.1692
,,08,09 Feb 2021,0.1696
,,09,10 Feb 2021,0.1704
,,10,11 Feb 2021,0.1718
,,11,15 Feb 2021,0.1833
,,15,16 Feb 2021,0.1845
,,16,17 Feb 2021,0.1845
,,17,18 Feb 2021,0.1846
,,18,19 Feb 2021,0.1849
,,19,22 Feb 2021,0.1912
,,22,23 Feb 2021,0.1929
,,23,24 Feb 2021,0.1940
,,24,25 Feb 2021,0.1946
,,25,26 Feb 2021,0.1961
,,26,01 Mar 2021,0.1996
,Mar,01,02 Mar 2021,0.1989
,,02,03 Mar 2021,0.1977
,,03,04 Mar 2021,0.1966
,,04,05 Mar 2021,0.1968
,,05,08 Mar 2021,0.1995
,,08,09 Mar 2021,0.2003
,,09,10 Mar 2021,0.2015
,,10,11 Mar 2021,0.2020
,,11,12 Mar 2021,0.2046
,,12,15 Mar 2021,0.2147
,,15,16 Mar 2021,0.2176
,,16,17 Mar 2021,0.2189
,,17,18 Mar 2021,0.2199
,,18,19 Mar 2021,0.2213
,,19,22 Mar 2021,0.2231
,,22,23 Mar 2021,0.2230
,,23,24 Mar 2021,0.2238
,,24,25 Mar 2021,0.2236
,,25,26 Mar 2021,0.2240
,,26,29 Mar 2021,0.2308
,,29,30 Mar 2021,0.2309
,,30,31 Mar 2021,0.2295
,,31,01 Apr 2021,0.2216
,Apr,01,05 Apr 2021,0.1935
,,05,06 Apr 2021,0.1937
,,06,07 Apr 2021,0.1932
,,07,08 Apr 2021,0.1918
,,08,09 Apr 2021,0.1902
,,09,12 Apr 2021,0.1855
,,12,13 Apr 2021,0.1845
,,13,14 Apr 2021,0.1839
,,14,15 Apr 2021,0.1839
,,15,16 Apr 2021,0.1834
,,16,19 Apr 2021,0.1844
,,19,20 Apr 2021,0.1835
,,20,21 Apr 2021,0.1841
,,21,22 Apr 2021,0.1840
,,22,23 Apr 2021,0.1844
,,23,26 Apr 2021,0.1864
,,26,27 Apr 2021,0.1858
,,27,28 Apr 2021,0.1867
,,28,29 Apr 2021,0.1856
,,29,30 Apr 2021,0.1850
,,30,03 May 2021,0.1862
,May,03,04 May 2021,0.1875
,,04,05 May 2021,0.1884
,,05,06 May 2021,0.1895
,,06,07 May 2021,0.1893
,,07,10 May 2021,0.1922
,,10,11 May 2021,0.1920
,,11,12 May 2021,0.1892
,,12,14 May 2021,0.1847
,,14,17 May 2021,0.1829
,,17,18 May 2021,0.1836
,,18,19 May 2021,0.1837
,,19,20 May 2021,0.1812
,,20,21 May 2021,0.1787
,,21,24 May 2021,0.1729
,,24,25 May 2021,0.1721
,,25,27 May 2021,0.1683
,,27,28 May 2021,0.1666
,,28,31 May 2021,0.1691
,,31,01 Jun 2021,0.1679
,Jun,01,02 Jun 2021,0.1685
,,02,03 Jun 2021,0.1695
,,03,04 Jun 2021,0.1702
,,04,07 Jun 2021,0.1683
,,07,08 Jun 2021,0.1674
,,08,09 Jun 2021,0.1667
,,09,10 Jun 2021,0.1653
,,10,11 Jun 2021,0.1644
,,11,14 Jun 2021,0.1561
,,14,15 Jun 2021,0.1530
,,15,16 Jun 2021,0.1503
,,16,17 Jun 2021,0.1489
,,17,18 Jun 2021,0.1486
,,18,21 Jun 2021,0.1494
,,21,22 Jun 2021,0.1492
,,22,23 Jun 2021,0.1493
,,23,24 Jun 2021,0.1484
,,24,25 Jun 2021,0.1482
,,25,28 Jun 2021,0.1399
,,28,29 Jun 2021,0.1367
,,29,30 Jun 2021,0.1349
,,30,01 Jul 2021,0.1326
,Jul,01,02 Jul 2021,0.1323
,,02,05 Jul 2021,0.1328
,,05,06 Jul 2021,0.1326
,,06,07 Jul 2021,0.1327
,,07,08 Jul 2021,0.1332
,,08,09 Jul 2021,0.1339
,,09,12 Jul 2021,0.1365
,,12,13 Jul 2021,0.1368
,,13,14 Jul 2021,0.1368
,,14,15 Jul 2021,0.1368
,,15,16 Jul 2021,0.1371
,,16,19 Jul 2021,0.1347
,,19,21 Jul 2021,0.1344
,,21,22 Jul 2021,0.1350
,,22,23 Jul 2021,0.1351
,,23,26 Jul 2021,0.1319
,,26,27 Jul 2021,0.1319
,,27,28 Jul 2021,0.1312
,,28,29 Jul 2021,0.1306
,,29,30 Jul 2021,0.1300
,,30,02 Aug 2021,0.1321
,Aug,02,03 Aug 2021,0.1319
,,03,04 Aug 2021,0.1309
,,04,05 Aug 2021,0.1302
,,05,06 Aug 2021,0.1290
,,06,10 Aug 2021,0.1313
,,10,11 Aug 2021,0.1301
,,11,12 Aug 2021,0.1301
,,12,13 Aug 2021,0.1295
,,13,16 Aug 2021,0.1272
,,16,17 Aug 2021,0.1262
,,17,18 Aug 2021,0.1256
,,18,19 Aug 2021,0.1255
,,19,20 Aug 2021,0.1259
,,20,23 Aug 2021,0.1275
,,23,24 Aug 2021,0.1279
,,24,25 Aug 2021,0.1281
,,25,26 Aug 2021,0.1284
,,26,27 Aug 2021,0.1287
,,27,30 Aug 2021,0.1296
,,30,31 Aug 2021,0.1292
,,31,01 Sep 2021,0.1300
,Sep,01,02 Sep 2021,0.1301
,,02,03 Sep 2021,0.1302
,,03,06 Sep 2021,0.1324
,,06,07 Sep 2021,0.1327
,,07,08 Sep 2021,0.1339
,,08,09 Sep 2021,0.1342
,,09,10 Sep 2021,0.1346
,,10,13 Sep 2021,0.1346
,,13,14 Sep 2021,0.1346
,,14,15 Sep 2021,0.1342
,,15,16 Sep 2021,0.1344
,,16,17 Sep 2021,0.1346
,,17,20 Sep 2021,0.1319
,,20,21 Sep 2021,0.1311
,,21,22 Sep 2021,0.1308
,,22,23 Sep 2021,0.1312
,,23,24 Sep 2021,0.1309
,,24,27 Sep 2021,0.1304
,,27,28 Sep 2021,0.1305
,,28,29 Sep 2021,0.1304
,,29,30 Sep 2021,0.1306
,,30,01 Oct 2021,0.1306
,Oct,01,04 Oct 2021,0.1302
,,04,05 Oct 2021,0.1295
,,05,06 Oct 2021,0.1291
,,06,07 Oct 2021,0.1287
,,07,08 Oct 2021,0.1291
,,08,11 Oct 2021,0.1315
,,11,12 Oct 2021,0.1321
,,12,13 Oct 2021,0.1332
,,13,14 Oct 2021,0.1344
,,14,15 Oct 2021,0.1359
,,15,18 Oct 2021,0.1437
,,18,19 Oct 2021,0.1452
,,19,20 Oct 2021,0.1476
,,20,21 Oct 2021,0.1495
,,21,22 Oct 2021,0.1498
,,22,25 Oct 2021,0.1530
,,25,26 Oct 2021,0.1547
,,26,27 Oct 2021,0.1557
,,27,28 Oct 2021,0.1555
,,28,29 Oct 2021,0.1557
,,29,01 Nov 2021,0.1555
,Nov,01,02 Nov 2021,0.1546
,,02,03 Nov 2021,0.1537
,,03,05 Nov 2021,0.1539
,,05,08 Nov 2021,0.1504
,,08,09 Nov 2021,0.1489
,,09,10 Nov 2021,0.1476
,,10,11 Nov 2021,0.1486
,,11,12 Nov 2021,0.1492
,,12,15 Nov 2021,0.1523
,,15,16 Nov 2021,0.1530
,,16,17 Nov 2021,0.1545
,,17,18 Nov 2021,0.1558
,,18,19 Nov 2021,0.1569
,,19,22 Nov 2021,0.1615
,,22,23 Nov 2021,0.1613
,,23,24 Nov 2021,0.1617
,,24,25 Nov 2021,0.1622
,,25,26 Nov 2021,0.1625
,,26,29 Nov 2021,0.1608
,,29,30 Nov 2021,0.1596
,,30,01 Dec 2021,0.1579
,Dec,01,02 Dec 2021,0.1572
,,02,03 Dec 2021,0.1565
,,03,06 Dec 2021,0.1579
,,06,07 Dec 2021,0.1601
,,07,08 Dec 2021,0.1617
,,08,09 Dec 2021,0.1625
,,09,10 Dec 2021,0.1628
,,10,13 Dec 2021,0.1650
,,13,14 Dec 2021,0.1670
,,14,15 Dec 2021,0.1699
,,15,16 Dec 2021,0.1708
,,16,17 Dec 2021,0.1715
,,17,20 Dec 2021,0.1750
,,20,21 Dec 2021,0.1753
,,21,22 Dec 2021,0.1753
,,22,23 Dec 2021,0.1744
,,23,24 Dec 2021,0.1749
,,24,27 Dec 2021,0.1809
,,27,28 Dec 2021,0.1820
,,28,29 Dec 2021,0.1834
,,29,30 Dec 2021,0.1856
,,30,31 Dec 2021,0.1867
,,31,03 Jan 2022,0.1943


SORA Value Date,,,SORA Publication Date,Compound SORA - 3 month
2022,Jan,03,04 Jan 2022,0.1949
,,04,05 Jan 2022,0.1960
,,05,06 Jan 2022,0.1971
,,06,07 Jan 2022,0.1977
,,07,10 Jan 2022,0.1966
,,10,11 Jan 2022,0.1955
,,11,12 Jan 2022,0.1953
,,12,13 Jan 2022,0.1955
,,13,14 Jan 2022,0.1960
,,14,17 Jan 2022,0.1933
,,17,18 Jan 2022,0.1912
,,18,19 Jan 2022,0.1903
,,19,20 Jan 2022,0.1882
,,20,21 Jan 2022,0.1888
,,21,24 Jan 2022,0.1900
,,24,25 Jan 2022,0.1893
,,25,26 Jan 2022,0.1887
,,26,27 Jan 2022,0.1917
,,27,28 Jan 2022,0.1940
,,28,31 Jan 2022,0.1991
,,31,03 Feb 2022,0.2065
,Feb,03,04 Feb 2022,0.2086
,,04,07 Feb 2022,0.2141
,,07,08 Feb 2022,0.2162
,,08,09 Feb 2022,0.2177
,,09,10 Feb 2022,0.2182
,,10,11 Feb 2022,0.2176
,,11,14 Feb 2022,0.2182
,,14,15 Feb 2022,0.2175
,,15,16 Feb 2022,0.2176
,,16,17 Feb 2022,0.2185
,,17,18 Feb 2022,0.2189
,,18,21 Feb 2022,0.2281
,,21,22 Feb 2022,0.2279
,,22,23 Feb 2022,0.2304
,,23,24 Feb 2022,0.2319
,,24,25 Feb 2022,0.2341
,,25,28 Feb 2022,0.2454
,,28,01 Mar 2022,0.2504
,Mar,01,02 Mar 2022,0.2511
,,02,03 Mar 2022,0.2510
,,03,04 Mar 2022,0.2497
,,04,07 Mar 2022,0.2436
,,07,08 Mar 2022,0.2403
,,08,09 Mar 2022,0.2386
,,09,10 Mar 2022,0.2377
,,10,11 Mar 2022,0.2374
,,11,14 Mar 2022,0.2351
,,14,15 Mar 2022,0.2333
,,15,16 Mar 2022,0.2336
,,16,17 Mar 2022,0.2349
,,17,18 Mar 2022,0.2353
,,18,21 Mar 2022,0.2367
,,21,22 Mar 2022,0.2399
,,22,23 Mar 2022,0.2444
,,23,24 Mar 2022,0.2504
,,24,25 Mar 2022,0.2533
,,25,28 Mar 2022,0.2674
,,28,29 Mar 2022,0.2706
,,29,30 Mar 2022,0.2707
,,30,31 Mar 2022,0.2726
,,31,01 Apr 2022,0.2760
,Apr,01,04 Apr 2022,0.2815
,,04,05 Apr 2022,0.2847
,,05,06 Apr 2022,0.2871
,,06,07 Apr 2022,0.2881
,,07,08 Apr 2022,0.2896
,,08,11 Apr 2022,0.2957
,,11,12 Apr 2022,0.2960
,,12,13 Apr 2022,0.2961
,,13,14 Apr 2022,0.2978
,,14,18 Apr 2022,0.3038
,,18,19 Apr 2022,0.3036
,,19,20 Apr 2022,0.3030
,,20,21 Apr 2022,0.3015
,,21,22 Apr 2022,0.3006
,,22,25 Apr 2022,0.3053
,,25,26 Apr 2022,0.3064
,,26,27 Apr 2022,0.3059
,,27,28 Apr 2022,0.3064
,,28,29 Apr 2022,0.3065
,,29,04 May 2022,0.3227
,May,04,05 May 2022,0.3252
,,05,06 May 2022,0.3318
,,06,09 May 2022,0.3588
,,09,10 May 2022,0.3667
,,10,11 May 2022,0.3739
,,11,12 May 2022,0.3814
,,12,13 May 2022,0.3892
,,13,17 May 2022,0.4418
,,17,18 May 2022,0.4488
,,18,19 May 2022,0.4546
,,19,20 May 2022,0.4588
,,20,23 May 2022,0.4861
,,23,24 May 2022,0.4943
,,24,25 May 2022,0.5009
,,25,26 May 2022,0.5048
,,26,27 May 2022,0.5080
,,27,30 May 2022,0.5208
,,30,31 May 2022,0.5221
,,31,01 Jun 2022,0.5263
,Jun,01,02 Jun 2022,0.5278
,,02,03 Jun 2022,0.5326
,,03,06 Jun 2022,0.5488
,,06,07 Jun 2022,0.5531
,,07,08 Jun 2022,0.5581
,,08,09 Jun 2022,0.5630
,,09,10 Jun 2022,0.5688
,,10,13 Jun 2022,0.5904
,,13,14 Jun 2022,0.5952
,,14,15 Jun 2022,0.5982
,,15,16 Jun 2022,0.6000
,,16,17 Jun 2022,0.6053
,,17,20 Jun 2022,0.6357
,,20,21 Jun 2022,0.6436
,,21,22 Jun 2022,0.6544
,,22,23 Jun 2022,0.6658
,,23,24 Jun 2022,0.6767
,,24,27 Jun 2022,0.7163
,,27,28 Jun 2022,0.7287
,,28,29 Jun 2022,0.7434
,,29,30 Jun 2022,0.7572
,,30,01 Jul 2022,0.7720
,Jul,01,04 Jul 2022,0.8089
,,04,05 Jul 2022,0.8239
,,05,06 Jul 2022,0.8394
,,06,07 Jul 2022,0.8552
,,07,08 Jul 2022,0.8713
,,08,12 Jul 2022,0.9431
,,12,13 Jul 2022,0.9609
,,13,14 Jul 2022,0.9782
,,14,15 Jul 2022,0.9951
,,15,18 Jul 2022,1.0485
,,18,19 Jul 2022,1.0680
,,19,20 Jul 2022,1.0877
,,20,21 Jul 2022,1.1055
,,21,22 Jul 2022,1.1231
,,22,25 Jul 2022,1.1683
,,25,26 Jul 2022,1.1839
,,26,27 Jul 2022,1.1980
,,27,28 Jul 2022,1.2110
,,28,29 Jul 2022,1.2295
,,29,01 Aug 2022,1.2712
,Aug,01,02 Aug 2022,1.2830
,,02,03 Aug 2022,1.2940
,,03,04 Aug 2022,1.3016
,,04,05 Aug 2022,1.3112
,,05,08 Aug 2022,1.3388
,,08,10 Aug 2022,1.3571
,,10,11 Aug 2022,1.3652
,,11,12 Aug 2022,1.3745
,,12,15 Aug 2022,1.3925
,,15,16 Aug 2022,1.3985
,,16,17 Aug 2022,1.4044
,,17,18 Aug 2022,1.4155
,,18,19 Aug 2022,1.4255
,,19,22 Aug 2022,1.4636
,,22,23 Aug 2022,1.4752
,,23,24 Aug 2022,1.4871
,,24,25 Aug 2022,1.4993
,,25,26 Aug 2022,1.5106
,,26,29 Aug 2022,1.5486
,,29,30 Aug 2022,1.5607
,,30,31 Aug 2022,1.5793
,,31,01 Sep 2022,1.5967
,Sep,01,02 Sep 2022,1.6164
,,02,05 Sep 2022,1.6654
,,05,06 Sep 2022,1.6828
,,06,07 Sep 2022,1.7012
,,07,08 Sep 2022,1.7188
,,08,09 Sep 2022,1.7369
,,09,12 Sep 2022,1.7901
,,12,13 Sep 2022,1.8069
,,13,14 Sep 2022,1.8246
,,14,15 Sep 2022,1.8404
,,15,16 Sep 2022,1.8549
,,16,19 Sep 2022,1.8811
,,19,20 Sep 2022,1.8871
,,20,21 Sep 2022,1.8945
,,21,22 Sep 2022,1.8968
,,22,23 Sep 2022,1.9009
,,23,26 Sep 2022,1.9207
,,26,27 Sep 2022,1.9280
,,27,28 Sep 2022,1.9381
,,28,29 Sep 2022,1.9477
,,29,30 Sep 2022,1.9732
,,30,03 Oct 2022,2.0655
,Oct,03,04 Oct 2022,2.0851
,,04,05 Oct 2022,2.1035
,,05,06 Oct 2022,2.1167
,,06,07 Oct 2022,2.1321
,,07,10 Oct 2022,2.1820
,,10,11 Oct 2022,2.1929
,,11,12 Oct 2022,2.2088
,,12,13 Oct 2022,2.2199
,,13,14 Oct 2022,2.2353
,,14,17 Oct 2022,2.2773
,,17,18 Oct 2022,2.2893
,,18,19 Oct 2022,2.3028
,,19,20 Oct 2022,2.3112
,,20,21 Oct 2022,2.3263
,,21,25 Oct 2022,2.3891
,,25,26 Oct 2022,2.4016
,,26,27 Oct 2022,2.4148
,,27,28 Oct 2022,2.4292
,,28,31 Oct 2022,2.4534
,,31,01 Nov 2022,2.4613
,Nov,01,02 Nov 2022,2.4705
,,02,03 Nov 2022,2.4810
,,03,04 Nov 2022,2.4945
,,04,07 Nov 2022,2.5382
,,07,08 Nov 2022,2.5499
,,08,09 Nov 2022,2.5630
,,09,10 Nov 2022,2.5753
,,10,11 Nov 2022,2.5947
,,11,14 Nov 2022,2.6487
,,14,15 Nov 2022,2.6633
,,15,16 Nov 2022,2.6745
,,16,17 Nov 2022,2.6854
,,17,18 Nov 2022,2.6994
,,18,21 Nov 2022,2.7450
,,21,22 Nov 2022,2.7621
,,22,23 Nov 2022,2.7778
,,23,24 Nov 2022,2.7933
,,24,25 Nov 2022,2.8095
,,25,28 Nov 2022,2.8651
,,28,29 Nov 2022,2.8820
,,29,30 Nov 2022,2.9007
,,30,01 Dec 2022,2.9243
,Dec,01,02 Dec 2022,2.9442
,,02,05 Dec 2022,3.0095
,,05,06 Dec 2022,3.0247
,,06,07 Dec 2022,3.0393
,,07,08 Dec 2022,3.0548
,,08,09 Dec 2022,3.0664
,,09,12 Dec 2022,3.0925
,,12,13 Dec 2022,3.0953
,,13,14 Dec 2022,3.0937
,,14,15 Dec 2022,3.0910
,,15,16 Dec 2022,3.0980
,,16,19 Dec 2022,3.1138
,,19,20 Dec 2022,3.1139
,,20,21 Dec 2022,3.1149
,,21,22 Dec 2022,3.1141
,,22,23 Dec 2022,3.1109
,,23,27 Dec 2022,3.1415
,,27,28 Dec 2022,3.1317
,,28,29 Dec 2022,3.1214
,,29,30 Dec 2022,3.0966
,,30,03 Jan 2023,3.0294


SORA Value Date,,,SORA Publication Date,Compound SORA - 3 month
2023,Jan,03,04 Jan 2023,3.0166
,,04,05 Jan 2023,3.0049
,,05,06 Jan 2023,3.0008
,,06,09 Jan 2023,2.9980
,,09,10 Jan 2023,3.0019
,,10,11 Jan 2023,3.0074
,,11,12 Jan 2023,3.0057
,,12,13 Jan 2023,3.0115
,,13,16 Jan 2023,3.0298
,,16,17 Jan 2023,3.0328
,,17,18 Jan 2023,3.0385
,,18,19 Jan 2023,3.0442
,,19,20 Jan 2023,3.0549
,,20,25 Jan 2023,3.0772
,,25,26 Jan 2023,3.0853
,,26,27 Jan 2023,3.0925
,,27,30 Jan 2023,3.1199
,,30,31 Jan 2023,3.1307
,,31,01 Feb 2023,3.1419
,Feb,01,02 Feb 2023,3.1525
,,02,03 Feb 2023,3.1625
,,03,06 Feb 2023,3.1869
,,06,07 Feb 2023,3.1916
,,07,08 Feb 2023,3.1940
,,08,09 Feb 2023,3.1953
,,09,10 Feb 2023,3.1989
,,10,13 Feb 2023,3.2090
,,13,14 Feb 2023,3.2084
,,14,15 Feb 2023,3.2103
,,15,16 Feb 2023,3.2148
,,16,17 Feb 2023,3.2214
,,17,20 Feb 2023,3.2321
,,20,21 Feb 2023,3.2314
,,21,22 Feb 2023,3.2277
,,22,23 Feb 2023,3.2251
,,23,24 Feb 2023,3.2266
,,24,27 Feb 2023,3.2347
,,27,28 Feb 2023,3.2352
,,28,01 Mar 2023,3.2206
,Mar,01,02 Mar 2023,3.2164
,,02,03 Mar 2023,3.2116
,,03,06 Mar 2023,3.2035
,,06,07 Mar 2023,3.2055
,,07,08 Mar 2023,3.2053
,,08,09 Mar 2023,3.2090
,,09,10 Mar 2023,3.2143
,,10,13 Mar 2023,3.2415
,,13,14 Mar 2023,3.2602
,,14,15 Mar 2023,3.2810
,,15,16 Mar 2023,3.2921
,,16,17 Mar 2023,3.3084
,,17,20 Mar 2023,3.3668
,,20,21 Mar 2023,3.3901
,,21,22 Mar 2023,3.4162
,,22,23 Mar 2023,3.4394
,,23,24 Mar 2023,3.4500
,,24,27 Mar 2023,3.4664
,,27,28 Mar 2023,3.4852
,,28,29 Mar 2023,3.5044
,,29,30 Mar 2023,3.5296
,,30,31 Mar 2023,3.5420
,,31,03 Apr 2023,3.5775
,Apr,03,04 Apr 2023,3.5907
,,04,05 Apr 2023,3.6042
,,05,06 Apr 2023,3.6135
,,06,10 Apr 2023,3.6156
,,10,11 Apr 2023,3.6127
,,11,12 Apr 2023,3.6123
,,12,13 Apr 2023,3.6106
,,13,14 Apr 2023,3.6047
,,14,17 Apr 2023,3.5928
,,17,18 Apr 2023,3.5898
,,18,19 Apr 2023,3.5851
,,19,20 Apr 2023,3.5816
,,20,21 Apr 2023,3.5802
,,21,24 Apr 2023,3.5969
,,24,25 Apr 2023,3.6013
,,25,26 Apr 2023,3.6030
,,26,27 Apr 2023,3.6035
,,27,28 Apr 2023,3.6047
,,28,02 May 2023,3.6057
,May,02,03 May 2023,3.6075
,,03,04 May 2023,3.6076
,,04,05 May 2023,3.6037
,,05,08 May 2023,3.6046
,,08,09 May 2023,3.6086
,,09,10 May 2023,3.6134
,,10,11 May 2023,3.6114
,,11,12 May 2023,3.6110
,,12,15 May 2023,3.6084
,,15,16 May 2023,3.6093
,,16,17 May 2023,3.6094
,,17,18 May 2023,3.6088
,,18,19 May 2023,3.6077
,,19,22 May 2023,3.6094
,,22,23 May 2023,3.6143
,,23,24 May 2023,3.6152
,,24,25 May 2023,3.6133
,,25,26 May 2023,3.6118
,,26,29 May 2023,3.6125
,,29,30 May 2023,3.6171
,,30,31 May 2023,3.6211
,,31,01 Jun 2023,3.6241
,Jun,01,05 Jun 2023,3.6313
,,05,06 Jun 2023,3.6337
,,06,07 Jun 2023,3.6355
,,07,08 Jun 2023,3.6394
,,08,09 Jun 2023,3.6431
,,09,12 Jun 2023,3.6535
,,12,13 Jun 2023,3.6520
,,13,14 Jun 2023,3.6500
,,14,15 Jun 2023,3.6501
,,15,16 Jun 2023,3.6531
,,16,19 Jun 2023,3.6445
,,19,20 Jun 2023,3.6416
,,20,21 Jun 2023,3.6397
,,21,22 Jun 2023,3.6361
,,22,23 Jun 2023,3.6346
,,23,26 Jun 2023,3.6352
,,26,27 Jun 2023,3.6371
,,27,28 Jun 2023,3.6396
,,28,30 Jun 2023,3.6414
,,30,03 Jul 2023,3.6549
,Jul,03,04 Jul 2023,3.6600
,,04,05 Jul 2023,3.6621
,,05,06 Jul 2023,3.6653
,,06,07 Jul 2023,3.6685
,,07,10 Jul 2023,3.6794
,,10,11 Jul 2023,3.6844
,,11,12 Jul 2023,3.6890
,,12,13 Jul 2023,3.6926
,,13,14 Jul 2023,3.6955
,,14,17 Jul 2023,3.7016
,,17,18 Jul 2023,3.7044
,,18,19 Jul 2023,3.7069
,,19,20 Jul 2023,3.7093
,,20,21 Jul 2023,3.7111
,,21,24 Jul 2023,3.6996
,,24,25 Jul 2023,3.6947
,,25,26 Jul 2023,3.6914
,,26,27 Jul 2023,3.6883
,,27,28 Jul 2023,3.6844
,,28,31 Jul 2023,3.6774
,,31,01 Aug 2023,3.6748
,Aug,01,02 Aug 2023,3.6706
,,02,03 Aug 2023,3.6676
,,03,04 Aug 2023,3.6663
,,04,07 Aug 2023,3.6796
,,07,08 Aug 2023,3.6844
,,08,10 Aug 2023,3.6872
,,10,11 Aug 2023,3.6878
,,11,14 Aug 2023,3.6938
,,14,15 Aug 2023,3.6954
,,15,16 Aug 2023,3.6965
,,16,17 Aug 2023,3.6976
,,17,18 Aug 2023,3.6985
,,18,21 Aug 2023,3.7078
,,21,22 Aug 2023,3.7076
,,22,23 Aug 2023,3.7051
,,23,24 Aug 2023,3.7046
,,24,25 Aug 2023,3.7034
,,25,28 Aug 2023,3.7000
,,28,29 Aug 2023,3.6996
,,29,30 Aug 2023,3.6976
,,30,31 Aug 2023,3.6949
,,31,04 Sep 2023,3.6964
,Sep,04,05 Sep 2023,3.6974
,,05,06 Sep 2023,3.6972
,,06,07 Sep 2023,3.6962
,,07,08 Sep 2023,3.6944
,,08,11 Sep 2023,3.6947
,,11,12 Sep 2023,3.6925
,,12,13 Sep 2023,3.6939
,,13,14 Sep 2023,3.6957
,,14,15 Sep 2023,3.6978
,,15,18 Sep 2023,3.7045
,,18,19 Sep 2023,3.7057
,,19,20 Sep 2023,3.7054
,,20,21 Sep 2023,3.7059
,,21,22 Sep 2023,3.7060
,,22,25 Sep 2023,3.7072
,,25,26 Sep 2023,3.7070
,,26,27 Sep 2023,3.7077
,,27,28 Sep 2023,3.7071
,,28,29 Sep 2023,3.7052
,,29,02 Oct 2023,3.7017
,Oct,02,03 Oct 2023,3.6980
,,03,04 Oct 2023,3.6956
,,04,05 Oct 2023,3.6934
,,05,06 Oct 2023,3.6919
,,06,09 Oct 2023,3.6988
,,09,10 Oct 2023,3.6994
,,10,11 Oct 2023,3.7001
,,11,12 Oct 2023,3.7004
,,12,13 Oct 2023,3.7018
,,13,16 Oct 2023,3.7099
,,16,17 Oct 2023,3.7123
,,17,18 Oct 2023,3.7152
,,18,19 Oct 2023,3.7185
,,19,20 Oct 2023,3.7211
,,20,23 Oct 2023,3.7287
,,23,24 Oct 2023,3.7300
,,24,25 Oct 2023,3.7320
,,25,26 Oct 2023,3.7352
,,26,27 Oct 2023,3.7401
,,27,30 Oct 2023,3.7479
,,30,31 Oct 2023,3.7512
,,31,01 Nov 2023,3.7527
,Nov,01,02 Nov 2023,3.7556
,,02,03 Nov 2023,3.7581
,,03,06 Nov 2023,3.7611
,,06,07 Nov 2023,3.7594
,,07,08 Nov 2023,3.7562
,,08,09 Nov 2023,3.7531
,,09,10 Nov 2023,3.7509
,,10,14 Nov 2023,3.7524
,,14,15 Nov 2023,3.7536
,,15,16 Nov 2023,3.7546
,,16,17 Nov 2023,3.7549
,,17,20 Nov 2023,3.7543
,,20,21 Nov 2023,3.7517
,,21,22 Nov 2023,3.7534
,,22,23 Nov 2023,3.7532
,,23,24 Nov 2023,3.7532
,,24,27 Nov 2023,3.7531
,,27,28 Nov 2023,3.7533
,,28,29 Nov 2023,3.7510
,,29,30 Nov 2023,3.7477
,,30,01 Dec 2023,3.7464
,Dec,01,04 Dec 2023,3.7432
,,04,05 Dec 2023,3.7416
,,05,06 Dec 2023,3.7408
,,06,07 Dec 2023,3.7411
,,07,08 Dec 2023,3.7436
,,08,11 Dec 2023,3.7405
,,11,12 Dec 2023,3.7408
,,12,13 Dec 2023,3.7429
,,13,14 Dec 2023,3.7462
,,14,15 Dec 2023,3.7472
